"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/1986","17,500.43","17,500.43","17,500.43","17,500.43","","-0.57%"
"06/26/1986","17,600.94","17,600.94","17,600.94","17,600.94","","0.48%"
"06/25/1986","17,516.63","17,516.63","17,516.63","17,516.63","","1.00%"
"06/24/1986","17,342.39","17,342.39","17,342.39","17,342.39","","-0.66%"
"06/23/1986","17,457.89","17,457.89","17,457.89","17,457.89","","0.31%"
"06/20/1986","17,403.13","17,403.13","17,403.13","17,403.13","","0.73%"
"06/19/1986","17,277.59","17,277.59","17,277.59","17,277.59","","0.59%"
"06/18/1986","17,177.06","17,177.06","17,177.06","17,177.06","","0.59%"
"06/17/1986","17,075.89","17,075.89","17,075.89","17,075.89","","-0.64%"
"06/16/1986","17,185.60","17,185.60","17,185.60","17,185.60","","-0.12%"
"06/13/1986","17,205.97","17,205.97","17,205.97","17,205.97","","0.44%"
"06/12/1986","17,131.19","17,131.19","17,131.19","17,131.19","","0.20%"
"06/11/1986","17,096.39","17,096.39","17,096.39","17,096.39","","0.76%"
"06/10/1986","16,967.69","16,967.69","16,967.69","16,967.69","","-0.24%"
"06/09/1986","17,008.30","17,008.30","17,008.30","17,008.30","","1.13%"
"06/06/1986","16,817.90","16,817.90","16,817.90","16,817.90","","0.04%"
"06/05/1986","16,811.00","16,811.00","16,811.00","16,811.00","","0.05%"
"06/04/1986","16,802.70","16,802.70","16,802.70","16,802.70","","0.80%"
"06/03/1986","16,669.50","16,669.50","16,669.50","16,669.50","","-0.42%"
"06/02/1986","16,739.30","16,739.30","16,739.30","16,739.30","","0.41%"
"05/30/1986","16,670.77","16,670.77","16,670.77","16,670.77","","0.36%"
"05/29/1986","16,610.60","16,610.60","16,610.60","16,610.60","","0.35%"
"05/28/1986","16,553.39","16,553.39","16,553.39","16,553.39","","0.52%"
"05/27/1986","16,467.30","16,467.30","16,467.30","16,467.30","","0.35%"
"05/26/1986","16,409.50","16,409.50","16,409.50","16,409.50","","1.26%"
"05/23/1986","16,204.98","16,204.98","16,204.98","16,204.98","","1.81%"
"05/22/1986","15,917.30","15,917.30","15,917.30","15,917.30","","0.69%"
"05/21/1986","15,808.10","15,808.10","15,808.10","15,808.10","","0.75%"
"05/20/1986","15,690.00","15,690.00","15,690.00","15,690.00","","-0.05%"
"05/19/1986","15,697.50","15,697.50","15,697.50","15,697.50","","-0.26%"
"05/16/1986","15,739.05","15,739.05","15,739.05","15,739.05","","-1.17%"
"05/15/1986","15,924.70","15,924.70","15,924.70","15,924.70","","-0.12%"
"05/14/1986","15,943.69","15,943.69","15,943.69","15,943.69","","-0.24%"
"05/13/1986","15,982.30","15,982.30","15,982.30","15,982.30","","-0.76%"
